Architecture,Loss Objective,Calibrator,T1 Brier,T2 Brier,T3 Brier,Δ Brier (T3 - T1),T3 Intercept (α),T3 Slope (β),T3 ECE,T3 Log-Loss,T3 Δ Brier vs Raw [95% Bootstrap CI]
DenseNet-121,Weighted BCE,Raw (Uncalibrated),0.0920,0.1111,0.1079,+0.0158,-2.9638,1.0484,0.2227,0.3572,--
DenseNet-121,Weighted BCE,Temperature Scaling (T*),0.0911,0.1100,0.1067,+0.0157,-2.9615,1.0289,0.2190,0.3540,"-0.0011 [-0.0014, -0.0009]"
DenseNet-121,Weighted BCE,Analytic Offset (z - log w),0.0359,0.0348,0.0284,-0.0075,-0.4451,0.9292,0.0126,0.1134,"-0.0795 [-0.0893, -0.0697]"
DenseNet-121,Weighted BCE,Fitted Offset (z + a*),0.0354,0.0352,0.0289,-0.0066,-0.6013,0.9423,0.0183,0.1148,"-0.0790 [-0.0885, -0.0696]"
DenseNet-121,Weighted BCE,Platt Scaling (a + bz),0.0357,0.0345,0.0281,-0.0076,-0.2288,1.1280,0.0176,0.1136,"-0.0798 [-0.0894, -0.0702]"
DenseNet-121,Unweighted BCE,Raw (Uncalibrated),0.0356,0.0341,0.0268,-0.0088,+0.1471,1.0439,0.0040,0.1054,--
DenseNet-121,Unweighted BCE,Temperature Scaling (T*),0.0350,0.0339,0.0268,-0.0082,+0.1528,1.1735,0.0082,0.1066,"+0.0001 [-0.0003, +0.0004]"
DenseNet-121,Unweighted BCE,Fitted Offset (z + a*),0.0333,0.0343,0.0274,-0.0059,-0.4177,1.0422,0.0160,0.1089,"+0.0007 [-0.0006, +0.0018]"
DenseNet-121,Unweighted BCE,Platt Scaling (a + bz),0.0333,0.0355,0.0285,-0.0048,-0.7231,0.8828,0.0175,0.1102,"+0.0017 [-0.0000, +0.0034]"
ResNet-50,Weighted BCE,Raw (Uncalibrated),0.1101,0.1254,0.1227,+0.0126,-2.8526,1.9498,0.2751,0.4015,--
ResNet-50,Weighted BCE,Temperature Scaling (T*),0.0876,0.1045,0.1008,+0.0131,-2.6080,1.1840,0.1993,0.3187,"-0.0220 [-0.0241, -0.0198]"
ResNet-50,Weighted BCE,Analytic Offset (z - log w),0.0402,0.0367,0.0291,-0.0111,+1.0751,1.4052,0.0158,0.1149,"-0.0936 [-0.1022, -0.0844]"
ResNet-50,Weighted BCE,Fitted Offset (z + a*),0.0384,0.0361,0.0291,-0.0093,+0.7008,1.5504,0.0229,0.1208,"-0.0936 [-0.1016, -0.0851]"
ResNet-50,Weighted BCE,Platt Scaling (a + bz),0.0380,0.0364,0.0297,-0.0082,-0.1911,1.1777,0.0223,0.1211,"-0.0930 [-0.1007, -0.0849]"
ResNet-50,Unweighted BCE,Raw (Uncalibrated),0.0361,0.0351,0.0272,-0.0088,-0.0766,1.0945,0.0109,0.1087,--
ResNet-50,Unweighted BCE,Temperature Scaling (T*),0.0361,0.0351,0.0273,-0.0088,-0.0957,1.0974,0.0107,0.1089,"+0.0000 [-0.0001, +0.0001]"
ResNet-50,Unweighted BCE,Fitted Offset (z + a*),0.0352,0.0354,0.0277,-0.0074,-0.3631,1.0755,0.0189,0.1113,"+0.0005 [-0.0001, +0.0011]"
ResNet-50,Unweighted BCE,Platt Scaling (a + bz),0.0351,0.0363,0.0284,-0.0066,-0.7099,0.8891,0.0204,0.1124,"+0.0012 [-0.0001, +0.0024]"
