analysis_type,architecture,loss_type,seed,stratum_subset,temporal_bin,target,n_total,n_pos,auroc,brier,ece,notes
view_position_stratification,densenet121,weighted_bce,2026,PA,T1_2015,Pleural Effusion,646,21,0.8720380952380953,0.15998859532686102,,Stratified evaluation for ViewPosition=PA
view_position_stratification,densenet121,weighted_bce,2026,PA,T2_2016,Pleural Effusion,1379,38,0.8155932336433926,0.18272439907815696,,Stratified evaluation for ViewPosition=PA
view_position_stratification,densenet121,weighted_bce,2026,PA,T3_2017,Pleural Effusion,838,18,0.7797086720867208,0.18607790384886377,,Stratified evaluation for ViewPosition=PA
view_position_stratification,densenet121,weighted_bce,2026,AP,T1_2015,Pleural Effusion,192,6,0.7141577060931901,0.21651220776578814,,Stratified evaluation for ViewPosition=AP
view_position_stratification,densenet121,weighted_bce,2026,AP,T2_2016,Pleural Effusion,479,15,0.5794540229885057,0.23660861813591605,,Stratified evaluation for ViewPosition=AP
view_position_stratification,densenet121,weighted_bce,2026,AP,T3_2017,Pleural Effusion,303,5,0.6664429530201342,0.23260465349422269,,Stratified evaluation for ViewPosition=AP
view_position_stratification,densenet121,weighted_bce,2026,L,T1_2015,Pleural Effusion,442,20,0.8767772511848342,0.15207444159011554,,Stratified evaluation for ViewPosition=L
view_position_stratification,densenet121,weighted_bce,2026,L,T2_2016,Pleural Effusion,894,35,0.8732080492266756,0.17264890233575186,,Stratified evaluation for ViewPosition=L
view_position_stratification,densenet121,weighted_bce,2026,L,T3_2017,Pleural Effusion,537,11,0.790874524714829,0.1933749746550975,,Stratified evaluation for ViewPosition=L
ece_binning_sensitivity,densenet121,weighted_bce,2026,quantile_bins5,T1_2015,Pleural Effusion,1879,99,,,0.2671625217251349,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,2026,quantile_bins5,T2_2016,Pleural Effusion,3987,177,,,0.3001713318306909,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,2026,quantile_bins5,T3_2017,Pleural Effusion,2436,85,,,0.3014417299067935,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,2026,quantile_bins10,T1_2015,Pleural Effusion,1879,99,,,0.2671625242390615,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,2026,quantile_bins10,T2_2016,Pleural Effusion,3987,177,,,0.3001713272728865,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,2026,quantile_bins10,T3_2017,Pleural Effusion,2436,85,,,0.3014417338400639,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,2026,quantile_bins15,T1_2015,Pleural Effusion,1879,99,,,0.2671625204007635,ECE sensitivity: quantile binning with M=15
