architecture,loss_type,temporal_bin,target,auroc_mean,auroc_std,brier_score_mean,brier_score_std,ece_equal_mass_mean,ece_equal_mass_std
densenet121,unweighted_bce,T1_2015,Cardiomegaly,0.9074706865040088,0.01155510604990006,0.0532316329578558,0.0012358292469129505,0.013955340387379467,0.0009297667444429626
densenet121,unweighted_bce,T1_2015,Edema,0.5402222222222223,0.04667211079355556,0.0021298779174684997,1.0810602384504015e-05,0.0029319312057782,0.0012799741883038715
densenet121,unweighted_bce,T1_2015,Pleural Effusion,0.9335045208640714,0.005166834051829876,0.036928351968526806,0.002897411747548914,0.023236609065446865,0.007761544051096107
densenet121,unweighted_bce,T1_2015,Pneumonia,0.8472790231456169,0.012869687410527747,0.02348616408805047,0.0007659883056937647,0.014150258631791368,0.0010841891937322249
densenet121,unweighted_bce,T2_2016,Cardiomegaly,0.8964847151412827,0.013987413907809873,0.0677274291714032,0.0021090293875879788,0.023636130734096098,0.008541352600582796
densenet121,unweighted_bce,T2_2016,Edema,0.8640361064870374,0.06864880819375117,0.0032412313545743,8.874364415336735e-06,0.0029116404323688665,0.00017041520865426654
densenet121,unweighted_bce,T2_2016,Pleural Effusion,0.8895386311174381,0.01153206506410912,0.03555864716569577,0.0009356733787087807,0.010494228911866533,0.0037251715177688237
densenet121,unweighted_bce,T2_2016,Pneumonia,0.8817701652781916,0.016550545686008514,0.0182235892862081,0.00026859910397686543,0.008456077993017733,0.001499701641370598
densenet121,unweighted_bce,T3_2017,Cardiomegaly,0.9017387879262441,0.016997709115677564,0.06768217682838433,0.0027983920868175157,0.02103741913519233,0.0073925750982459645
densenet121,unweighted_bce,T3_2017,Edema,,,1.6347777394306224e-05,2.1523611397050548e-05,0.002885792108556067,0.0029014205631851145
densenet121,unweighted_bce,T3_2017,Pleural Effusion,0.8730869634114812,0.012030788601020912,0.027939719458420997,0.0008790279655810884,0.008952336966753833,0.002186433646566761
densenet121,unweighted_bce,T3_2017,Pneumonia,0.8646591226599609,0.017231757479927563,0.018667764340837733,0.0005607725879234452,0.0095494146570058,0.0015857299714168824
densenet121,weighted_bce,T1_2015,Cardiomegaly,0.8739133451687063,0.05399092157765605,0.12617638707160944,0.024692284547265617,0.20309441359553415,0.05071805679438531
densenet121,weighted_bce,T1_2015,Edema,0.6121777777777778,0.026779289952692367,0.06137263930092254,0.06374005357846198,0.11911167590382427,0.12276351484623203
densenet121,weighted_bce,T1_2015,Pleural Effusion,0.9060530397609049,0.053702783501017606,0.108134185274442,0.039413826671924404,0.19637642349503928,0.07023338533496874
densenet121,weighted_bce,T1_2015,Pneumonia,0.8180754510661564,0.020622449971151303,0.13134266932805375,0.05329552782652891,0.2393350674515844,0.08940597601799316
densenet121,weighted_bce,T2_2016,Cardiomegaly,0.8599087361990921,0.05997195319383039,0.13584232081969577,0.031557625494621586,0.19842023173184065,0.05300924196427794
densenet121,weighted_bce,T2_2016,Edema,0.8752564747783671,0.012893626628367943,0.06723771616816517,0.07627023776508289,0.1277600525349561,0.13793773868481038
densenet121,weighted_bce,T2_2016,Pleural Effusion,0.8676021076461488,0.045685484007526964,0.1287109926342964,0.043213005171287525,0.22237036527794682,0.07729383775665997
densenet121,weighted_bce,T2_2016,Pneumonia,0.8494076847665074,0.03134432779079835,0.1308432668447494,0.05545309861301032,0.24434775142292667,0.09205819079732672
densenet121,weighted_bce,T3_2017,Cardiomegaly,0.8575385639339128,0.06987819420520126,0.13598646720250443,0.030614103657800294,0.19686496429645914,0.04858964714866197
densenet121,weighted_bce,T3_2017,Edema,,,0.06358294840902086,0.07338702495291094,0.12735067046727447,0.1326680270682929
densenet121,weighted_bce,T3_2017,Pleural Effusion,0.8390972552355693,0.06565799676569592,0.12539883951346076,0.04558515877454981,0.22273416598987586,0.07649029777961795
densenet121,weighted_bce,T3_2017,Pneumonia,0.8423651858060911,0.049640909893406866,0.12983534981807068,0.05128345726412566,0.24250932474499318,0.08833349753615169
resnet50,unweighted_bce,T1_2015,Cardiomegaly,0.8897621404219885,0.017703457315707185,0.05720806494355196,0.003746796033627416,0.023346497280459035,0.01897315277730829
resnet50,unweighted_bce,T1_2015,Edema,0.5564,0.03678604807985407,0.0021330847715337335,6.418506341545485e-06,0.0023037521404548,0.0005315904979013424
resnet50,unweighted_bce,T1_2015,Pleural Effusion,0.9294830325729201,0.011345902649147468,0.037200272083282436,0.0022254109818665418,0.0161618907780077,0.004971960138398472
resnet50,unweighted_bce,T1_2015,Pneumonia,0.8431638418079096,0.01778724778137971,0.0241732237239678,0.0006545585622187831,0.012838754565382268,0.00497249572941002
resnet50,unweighted_bce,T2_2016,Cardiomegaly,0.8755951866598424,0.03171361340879234,0.07087210317452743,0.005881778583658249,0.018125795621474233,0.010659457782894928
resnet50,unweighted_bce,T2_2016,Edema,0.896574529312325,0.021587898159876107,0.0032331255109359,1.4833218767248874e-05,0.0022740543870269666,0.00032709409065963024
resnet50,unweighted_bce,T2_2016,Pleural Effusion,0.8755324722827725,0.029305639172945788,0.036370309690634366,0.0012519009766131703,0.010142547190292133,0.00027173778739014715
resnet50,unweighted_bce,T2_2016,Pneumonia,0.865929565664287,0.012971850908768158,0.0186542253941297,0.00025303144153369597,0.0099637516198248,0.0008007606047603355
resnet50,unweighted_bce,T3_2017,Cardiomegaly,0.8785274639749622,0.019557169111641782,0.07118551929791764,0.005057693854507276,0.017497300530105665,0.00810757433106299
resnet50,unweighted_bce,T3_2017,Edema,,,2.029241250056657e-05,1.7049631392235433e-05,0.0017090413578015,0.0008795378686921024
resnet50,unweighted_bce,T3_2017,Pleural Effusion,0.8608310189239455,0.01902309167848832,0.028368944302201233,0.0009954558908067041,0.0132452578076089,0.003026727222195078
resnet50,unweighted_bce,T3_2017,Pneumonia,0.879759709416038,0.016889545045357095,0.019065372645854898,0.00028832769305031295,0.010556775257076101,0.0015470145205447646
resnet50,weighted_bce,T1_2015,Cardiomegaly,0.829800395908941,0.05498083788922462,0.14149563511212662,0.012400264263855765,0.2449689267057161,0.034823134457374186
resnet50,weighted_bce,T1_2015,Edema,0.5490444444444444,0.08522008978934308,0.06932274810969825,0.04611203922488376,0.15445164828068073,0.11208156767662389
resnet50,weighted_bce,T1_2015,Pleural Effusion,0.8788569212726515,0.05077540835044821,0.12558979789415992,0.03254011562769275,0.24809275962463903,0.07325577779946894
resnet50,weighted_bce,T1_2015,Pneumonia,0.8348952068525605,0.019907821358375103,0.1667137791713078,0.05840675785590816,0.3188775921361387,0.11747954507546064
resnet50,weighted_bce,T2_2016,Cardiomegaly,0.804584349775884,0.07005952933303507,0.15261975427468613,0.008322100618878324,0.23568019348974303,0.026576578909318208
resnet50,weighted_bce,T2_2016,Edema,0.8310105428877447,0.04365618954266331,0.07493970791498816,0.050942033502540764,0.16388188287147878,0.11870573543313383
resnet50,weighted_bce,T2_2016,Pleural Effusion,0.8466833241889962,0.04581309237138026,0.14171319703261057,0.027679903469238678,0.271200285268012,0.07100018596466076
resnet50,weighted_bce,T2_2016,Pneumonia,0.8359413126379298,0.034527679453314156,0.16805928448836005,0.05827695171200051,0.3255371372225182,0.11781137274086112
resnet50,weighted_bce,T3_2017,Cardiomegaly,0.7990211606314496,0.07876337934484505,0.15219751000404355,0.00852267296087931,0.2337881263932845,0.02581813581766326
resnet50,weighted_bce,T3_2017,Edema,,,0.0745704260965188,0.04937535272559459,0.1670406952119747,0.11603066148520351
resnet50,weighted_bce,T3_2017,Pleural Effusion,0.81906406118381,0.04958644483774015,0.13924890259901676,0.031015474948355538,0.2751185347839806,0.07689806244079368
resnet50,weighted_bce,T3_2017,Pneumonia,0.8232592903045544,0.05325635561146117,0.16914500792821244,0.061291345237071776,0.3252852573854717,0.12082757626686352
