architecture,loss_type,seed,target,temporal_bin,calibration_method,comparison,brier_raw,brier_calibrated,delta_brier,brier_diff_ci_lower,brier_diff_ci_upper,log_loss_raw,log_loss_calibrated,delta_log_loss,log_loss_diff_ci_lower,log_loss_diff_ci_upper
densenet121,unweighted_bce,ensemble,Cardiomegaly,T1_2015,temperature,temperature_vs_raw,0.050713718270055046,0.05068899826569876,-2.4720004356285075e-05,-0.0002340037811141949,0.00016140911537874497,0.17031344218568337,0.1700263303414258,-0.0002871118442575593,-0.001138007735392037,0.00047684838196660156
densenet121,unweighted_bce,ensemble,Cardiomegaly,T1_2015,offset,offset_vs_raw,0.050713718270055046,0.05088189061396512,0.00016817234391007518,-0.00013418949471988615,0.00048817263477224035,0.17031344218568337,0.17038700290548703,7.356071980366141e-05,-0.0008180375242999964,0.000991603137746893
densenet121,unweighted_bce,ensemble,Cardiomegaly,T1_2015,platt,platt_vs_raw,0.050713718270055046,0.051277836915028435,0.0005641186449733895,7.452357967584902e-05,0.0010582799816783142,0.17031344218568337,0.17135099704547702,0.001037554859793649,-0.00021502817634399158,0.002281831838870096
densenet121,unweighted_bce,ensemble,Cardiomegaly,T2_2016,temperature,temperature_vs_raw,0.06495181204788102,0.06491537394814109,-3.64380997399244e-05,-0.00019273834029090136,0.00010975014373845134,0.21425787097960708,0.21314134042411478,-0.0011165305554922955,-0.0019768947654342965,-0.00035589856298846563
densenet121,unweighted_bce,ensemble,Cardiomegaly,T2_2016,offset,offset_vs_raw,0.06495181204788102,0.0647109711110375,-0.0002408409368435116,-0.0003654350466834949,-0.00011683202804979603,0.21425787097960708,0.2133596493718364,-0.0008982216077706717,-0.0013383332008066265,-0.0004968696837525067
densenet121,unweighted_bce,ensemble,Cardiomegaly,T2_2016,platt,platt_vs_raw,0.06495181204788102,0.0650070896271848,5.527757930377797e-05,-0.00011573046511227606,0.000224436510906037,0.21425787097960708,0.21337215212307228,-0.0008857188565347951,-0.0017358759159158512,-0.00014494216974643515
densenet121,unweighted_bce,ensemble,Cardiomegaly,T3_2017,temperature,temperature_vs_raw,0.06477182101593369,0.06470310154496112,-6.871947097257525e-05,-0.0002450985812102181,0.00010077786476407331,0.21032080474749962,0.20926246672096374,-0.0010583380265358766,-0.0018906967630511933,-0.00031532486983739706
densenet121,unweighted_bce,ensemble,Cardiomegaly,T3_2017,offset,offset_vs_raw,0.06477182101593369,0.06446095863873665,-0.00031086237719704646,-0.0004964977521017219,-0.0001302648194921442,0.21032080474749962,0.2090521331641114,-0.0012686715833882256,-0.0019016024852992982,-0.000655388728819155
densenet121,unweighted_bce,ensemble,Cardiomegaly,T3_2017,platt,platt_vs_raw,0.06477182101593369,0.06485005538475971,7.823436882602175e-05,-0.0001213361163202085,0.00027797365926494726,0.21032080474749962,0.20966501867608694,-0.0006557860714126729,-0.001481295664942395,9.10521993328402e-05
densenet121,unweighted_bce,ensemble,Edema,T1_2015,temperature,temperature_vs_raw,0.002123721393937261,0.0021265362502087006,2.8148562714394587e-06,-1.285697634437186e-06,9.250110139589389e-06,0.015210251005544592,0.016065311653206512,0.0008550606476619201,-0.0006317489430923377,0.0036921271241093408
densenet121,unweighted_bce,ensemble,Edema,T1_2015,offset,offset_vs_raw,0.002123721393937261,0.002129431681782805,5.710287845543758e-06,-1.7789064153500236e-06,1.7301681782520985e-05,0.015210251005544592,0.016172701801110672,0.0009624507955660801,-0.0008136595407129323,0.0039445324700594
