coverage,retained_samples,deferred_samples,p_defer_given_pos,p_defer_given_neg,retained_positives,retained_prevalence,automated_false_negatives,automated_false_positives,sensitivity_retained,specificity_retained,ppv_retained,npv_retained,brier_score,ece,ece_equal_width,ece_equal_mass,auroc,auprc,architecture,loss_type,seed,target,temporal_bin,calibration_method,threshold_method,threshold_value
0.5,940,939,0.9191919191919192,0.4764044943820225,8.0,0.00851063829787234,0.0,2.0,1.0,0.9978540772532188,0.8,1.0,0.0020498078198640892,0.005104536853564051,0.008469278931228497,0.005104536853564051,0.9986587982832619,0.8385912698412699,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,raw,youden_validation,0.020260223798685823
0.6,1128,751,0.8080808080808081,0.37696629213483146,19.0,0.016843971631205674,0.0,12.0,1.0,0.9891794409377818,0.6129032258064516,1.0,0.006214601623971569,0.0059155469838642425,0.012020517844476317,0.0059155469838642425,0.9967253571259076,0.7846402753308688,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,raw,youden_validation,0.020260223798685823
0.7,1316,563,0.5555555555555556,0.2853932584269663,44.0,0.03343465045592705,0.0,24.0,1.0,0.9811320754716981,0.6470588235294118,1.0,0.014931218651675874,0.016391817699830474,0.01916901288629488,0.016391817699830474,0.9910305889079474,0.7068158371082146,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,raw,youden_validation,0.020260223798685823
0.8,1504,375,0.26262626262626265,0.1960674157303371,73.0,0.04853723404255319,1.0,108.0,0.9863013698630136,0.9245283018867925,0.4,0.9992447129909365,0.028046572592445446,0.025329230552049567,0.026322386508774682,0.025329230552049567,0.9803471085456095,0.6456866156567375,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,raw,youden_validation,0.020260223798685823
0.9,1692,187,0.16161616161616163,0.09606741573033707,83.0,0.04905437352245863,1.0,269.0,0.9879518072289156,0.8328154133001865,0.2336182336182336,0.9992542878448919,0.030437422097865707,0.02344814155502134,0.02280853190967098,0.02344814155502134,0.971246078159749,0.6068254968300392,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,raw,youden_validation,0.020260223798685823
1.0,1879,0,0.0,0.0,99.0,0.05268759978712081,1.0,432.0,0.98989898989899,0.7573033707865169,0.18490566037735848,0.9992587101556709,0.035556949456184185,0.026132167197926444,0.01807169685386915,0.026132167197926444,0.9449211213256157,0.541540308916199,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,raw,youden_validation,0.020260223798685823
0.5,940,939,1.0,0.47191011235955055,0.0,0.0,0.0,0.0,,1.0,,1.0,2.8223261919281894e-05,0.004935771902233736,0.004935771902233736,0.004935771902233736,,,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,raw,fixed_0.5,0.5
0.6,1128,751,1.0,0.36629213483146067,0.0,0.0,0.0,0.0,,1.0,,1.0,4.2400095355381666e-05,0.0058806759693338356,0.005880675969333836,0.0058806759693338356,,,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,raw,fixed_0.5,0.5
0.7,1316,563,0.98989898989899,0.2612359550561798,1.0,0.0007598784194528875,1.0,0.0,0.0,1.0,,0.9992401215805471,0.0008041447251160756,0.006438266719972905,0.006438266719972904,0.006438266719972905,0.9604562737642586,0.018867924528301886,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,raw,fixed_0.5,0.5
0.8,1504,375,0.8585858585858586,0.16292134831460675,14.0,0.009308510638297872,14.0,0.0,0.0,1.0,,0.9906914893617021,0.009007547799626805,0.01093768334084607,3.838250304661825e-05,0.01093768334084607,0.936673058485139,0.13895090487506678,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,raw,fixed_0.5,0.5
