architecture,target,temporal_bin,calibration_method,metric,unweighted_mean,weighted_mean,difference
densenet121,Cardiomegaly,T1_2015,raw,brier_score,0.05261031703562266,0.12242513567285584,0.06981481863723318
densenet121,Cardiomegaly,T1_2015,raw,log_loss,0.1770176995293513,0.3868539838880296,0.2098362843586783
densenet121,Cardiomegaly,T1_2015,raw,ece_equal_mass,0.01321141877888015,0.1994018669122437,0.18619044813336355
densenet121,Cardiomegaly,T1_2015,raw,auroc,0.9107079032536802,0.8814300835807765,-0.02927781967290377
densenet121,Cardiomegaly,T2_2016,raw,brier_score,0.0671015586961318,0.13182397383390998,0.06472241513777818
densenet121,Cardiomegaly,T2_2016,raw,log_loss,0.22346345878683485,0.41017309856149653,0.18670963977466168
densenet121,Cardiomegaly,T2_2016,raw,ece_equal_mass,0.02496854255702857,0.19493727152959534,0.16996872897256676
densenet121,Cardiomegaly,T2_2016,raw,auroc,0.9001778082064305,0.8685599363213976,-0.031617871885032844
densenet121,Cardiomegaly,T3_2017,raw,brier_score,0.06705179473469097,0.1322067456162676,0.06515495088157663
densenet121,Cardiomegaly,T3_2017,raw,log_loss,0.21994950431623517,0.4125947245726134,0.19264522025637826
densenet121,Cardiomegaly,T3_2017,raw,ece_equal_mass,0.023160970735410073,0.19345796578030292,0.17029699504489285
densenet121,Cardiomegaly,T3_2017,raw,auroc,0.905699436222692,0.8659329375502738,-0.039766498672418216
densenet121,Cardiomegaly,T1_2015,temperature,brier_score,0.05235420419295536,0.1225771555170337,0.07022295132407834
densenet121,Cardiomegaly,T1_2015,temperature,log_loss,0.1754307191036074,0.3883104320974534,0.212879712993846
densenet121,Cardiomegaly,T1_2015,temperature,ece_equal_mass,0.010885937789109543,0.1958165509407402,0.18493061315163067
densenet121,Cardiomegaly,T1_2015,temperature,auroc,0.9100961689525695,0.8811983511649463,-0.028897817787623237
densenet121,Cardiomegaly,T2_2016,temperature,brier_score,0.06678558959922382,0.13179462282543422,0.0650090332262104
densenet121,Cardiomegaly,T2_2016,temperature,log_loss,0.2207533889612984,0.40986693333814994,0.18911354437685154
densenet121,Cardiomegaly,T2_2016,temperature,ece_equal_mass,0.022512127735397486,0.19120699902572239,0.1686948712903249
densenet121,Cardiomegaly,T2_2016,temperature,auroc,0.9001778912943774,0.8685599363213976,-0.03161795497297981
densenet121,Cardiomegaly,T3_2017,temperature,brier_score,0.06674228636084799,0.13231615860948773,0.06557387224863974
densenet121,Cardiomegaly,T3_2017,temperature,log_loss,0.21769469318391035,0.41244413812416447,0.19474944494025412
densenet121,Cardiomegaly,T3_2017,temperature,ece_equal_mass,0.021675404203907032,0.18968325559016178,0.16800785138625474
densenet121,Cardiomegaly,T3_2017,temperature,auroc,0.905699436222692,0.8659329375502738,-0.039766498672418216
densenet121,Cardiomegaly,T1_2015,offset,brier_score,0.05282895394314003,0.057109389743875374,0.004280435800735345
densenet121,Cardiomegaly,T1_2015,offset,log_loss,0.1769101359157433,0.19419326790514432,0.017283131989401013
densenet121,Cardiomegaly,T1_2015,offset,ece_equal_mass,0.012731244736802025,0.01521154800912662,0.002480303272324595
densenet121,Cardiomegaly,T1_2015,offset,auroc,0.9101992702392735,0.8807957651882924,-0.029403505050981105
densenet121,Cardiomegaly,T2_2016,offset,brier_score,0.06676150193258443,0.07224894509586613,0.005487443163281702
densenet121,Cardiomegaly,T2_2016,offset,log_loss,0.22145783694682486,0.24312847396425322,0.021670637017428357
densenet121,Cardiomegaly,T2_2016,offset,ece_equal_mass,0.02182790790998442,0.02523827546766973,0.0034103675576853086
densenet121,Cardiomegaly,T2_2016,offset,auroc,0.9001778912943774,0.8685599363213976,-0.03161795497297981
densenet121,Cardiomegaly,T3_2017,offset,brier_score,0.06679006286773576,0.07358130492886907,0.00679124206113331
densenet121,Cardiomegaly,T3_2017,offset,log_loss,0.2183129619662164,0.24623716697524173,0.027924205009025316
densenet121,Cardiomegaly,T3_2017,offset,ece_equal_mass,0.022162843374363517,0.02530767696243252,0.003144833588069003
densenet121,Cardiomegaly,T3_2017,offset,auroc,0.905699436222692,0.8659329375502738,-0.039766498672418216
densenet121,Cardiomegaly,T1_2015,platt,brier_score,0.05263254497113599,0.05690883084250141,0.004276285871365422
densenet121,Cardiomegaly,T1_2015,platt,log_loss,0.17612042989317422,0.19405990878128654,0.017939478888112315
densenet121,Cardiomegaly,T1_2015,platt,ece_equal_mass,0.007991295355927608,0.014022376578846472,0.0060310812229188646
densenet121,Cardiomegaly,T1_2015,platt,auroc,0.9093125991736186,0.879191312783774,-0.03012128638984457
densenet121,Cardiomegaly,T2_2016,platt,brier_score,0.06644960887864645,0.07186690575007171,0.005417296871425253
densenet121,Cardiomegaly,T2_2016,platt,log_loss,0.22016939299747737,0.24157283587029904,0.02140344287282167
densenet121,Cardiomegaly,T2_2016,platt,ece_equal_mass,0.021123181911567795,0.022711802962630527,0.0015886210510627323
densenet121,Cardiomegaly,T2_2016,platt,auroc,0.9001778912943774,0.8685599363213976,-0.03161795497297981
densenet121,Cardiomegaly,T3_2017,platt,brier_score,0.06643289846241567,0.07304133114024827,0.006608432677832607
densenet121,Cardiomegaly,T3_2017,platt,log_loss,0.21705934709906755,0.24410939143675137,0.02705004433768382
densenet121,Cardiomegaly,T3_2017,platt,ece_equal_mass,0.020268957960457093,0.022525479730022793,0.0022565217695657003
densenet121,Cardiomegaly,T3_2017,platt,auroc,0.905699436222692,0.8659329375502738,-0.039766498672418216
densenet121,Edema,T1_2015,raw,brier_score,0.002127967884084863,0.05341358836974909,0.05128562048566423
densenet121,Edema,T1_2015,raw,log_loss,0.016011280447661008,0.1851928845141791,0.16918160406651808
densenet121,Edema,T1_2015,raw,ece_equal_mass,0.0028358013664534893,0.10745024384315895,0.10461444247670545
densenet121,Edema,T1_2015,raw,auroc,0.54405,0.6090166666666668,0.06496666666666673
densenet121,Edema,T2_2016,raw,brier_score,0.003239346459628388,0.05776667738152849,0.054527330921900104
densenet121,Edema,T2_2016,raw,log_loss,0.020182718719803764,0.19508293586485653,0.17490021714505277
densenet121,Edema,T2_2016,raw,ece_equal_mass,0.0029390693953597214,0.11492736280928167,0.11198829341392195
densenet121,Edema,T2_2016,raw,auroc,0.8764565831752544,0.8816562463706399,0.005199663195385451
