architecture,loss_type,target,n_observations,n_patients,n_positives,prevalence,brier_null,auroc,auroc_ci,brier_raw,brier_raw_ci,brier_corr,brier_corr_ci,delta_brier,delta_brier_ci,bss_raw,bss_raw_ci,bss_corr,bss_corr_ci,intercept_raw,intercept_corr
densenet121,unweighted_bce,Pleural Effusion,3403,289,1095,0.3217749044960329,0.21823581533260178,0.6882418112896972,"(0.6559605182200549, 0.7172950574002989)",0.24877873442294404,"(0.21776138408682671, 0.28017850394614724)",0.24877873442294404,"(0.21776138408682671, 0.28017850394614724)",0.0,"(0.0, 0.0)",-0.13995374244045777,"(-0.2116281340883143, -0.07441711406300475)",-0.13995374244045777,"(-0.2116281340883143, -0.07441711406300475)",0.6557766419350122,0.6557766419350122
densenet121,unweighted_bce,Cardiomegaly,3403,289,896,0.26329709080223335,0.19397173277731383,0.5227198665166106,"(0.4910914737464574, 0.5561408216096678)",0.23748460493582352,"(0.21158962069241682, 0.26320096174303736)",0.23748460493582352,"(0.21158962069241682, 0.26320096174303736)",0.0,"(0.0, 0.0)",-0.22432584137640266,"(-0.2761922448526029, -0.17848627010040935)",-0.22432584137640266,"(-0.2761922448526029, -0.17848627010040935)",-0.9121691906631797,-0.9121691906631797
densenet121,unweighted_bce,Pneumonia,3403,289,342,0.1004995592124596,0.09039939781056093,0.6065995326986747,"(0.5596580913532038, 0.6495777626334784)",0.09860508977473788,"(0.08333503474122453, 0.11681985573725516)",0.09860508977473788,"(0.08333503474122453, 0.11681985573725516)",0.0,"(0.0, 0.0)",-0.09077153347163458,"(-0.11237008733677054, -0.07304273107111553)",-0.09077153347163458,"(-0.11237008733677054, -0.07304273107111553)",-0.50345683178228,-0.50345683178228
densenet121,unweighted_bce,Edema,3403,289,726,0.21334116955627389,0.16782671492863507,0.562190314185424,"(0.5239945024647773, 0.5962109073120622)",0.21240813381942053,"(0.18049914117666244, 0.24718224717107412)",0.21240813381942053,"(0.18049914117666244, 0.24718224717107412)",0.0,"(0.0, 0.0)",-0.2656395849119897,"(-0.32430076850185907, -0.21634029317642473)",-0.2656395849119897,"(-0.32430076850185907, -0.21634029317642473)",0.40766983831490283,0.40766983831490283
densenet121,weighted_bce,Pleural Effusion,3403,289,1095,0.3217749044960329,0.21823581533260178,0.6679850905723985,"(0.6361522073388122, 0.7000039510173788)",0.2535620055280165,"(0.23998151802094592, 0.2662758048524091)",0.2451163273215316,"(0.21443704903757105, 0.2777466490972395)",-0.008445678206484897,"(-0.040125096890294275, 0.024030681714885805)",-0.1618716439443082,"(-0.27067220010385756, -0.0698367708956)",-0.12317186318827944,"(-0.19888897335828096, -0.05753793883536386)",-0.8558506844498394,0.42519786026585965
densenet121,weighted_bce,Cardiomegaly,3403,289,896,0.26329709080223335,0.19397173277731383,0.5248945808877998,"(0.4924675085024258, 0.5576156153542517)",0.2907193466890037,"(0.2715928807158728, 0.310258977582572)",0.2327761341583506,"(0.20813417361012068, 0.2596320247315588)",-0.05794321253065307,"(-0.07899573147835881, -0.034932827055988894)",-0.4987717154785609,"(-0.6238217327403517, -0.3926924658655498)",-0.20005183655076975,"(-0.24782318022551716, -0.15398040910058225)",-1.0012654368798468,-0.8770363643113728
densenet121,weighted_bce,Pneumonia,3403,289,342,0.1004995592124596,0.09039939781056093,0.5979575149351108,"(0.5527583645583353, 0.6385800725696607)",0.10776750942309679,"(0.0948598597161487, 0.12011866062904517)",0.09825359996140659,"(0.08264915354985407, 0.11310138607612191)",-0.009513909461690201,"(-0.016999327981413202, -0.0016077066231535598)",-0.19212640828572902,"(-0.28854982954240826, -0.11028426461471051)",-0.08688334591901548,"(-0.10717685716280334, -0.06922747637760074)",-1.6968740644705687,-1.0934393205908133
densenet121,weighted_bce,Edema,3403,289,726,0.21334116955627389,0.16782671492863507,0.5809909122810267,"(0.5486276588807147, 0.611179480300319)",0.19143409199894756,"(0.16402162285335758, 0.21984859128978293)",0.21313882414417148,"(0.1785585033007135, 0.2485710559195773)",0.02170473214522392,"(0.011840852087895927, 0.0307300046897788)",-0.14066519195320626,"(-0.1864313071965369, -0.0970315546130665)",-0.26999342288743766,"(-0.33007323305948577, -0.216261406229703)",-0.814195542006694,0.14861331234860836
resnet50,unweighted_bce,Pleural Effusion,3403,289,1095,0.3217749044960329,0.21823581533260178,0.6767032280018676,"(0.6447218456708854, 0.7092617310240016)",0.24295647005672152,"(0.21323643707103973, 0.2728130064777654)",0.24295647005672152,"(0.21323643707103973, 0.2728130064777654)",0.0,"(0.0, 0.0)",-0.1132749667438604,"(-0.1872545942451767, -0.04845445648545925)",-0.1132749667438604,"(-0.1872545942451767, -0.04845445648545925)",0.4422683108245817,0.4422683108245817
resnet50,unweighted_bce,Cardiomegaly,3403,289,896,0.26329709080223335,0.19397173277731383,0.5187817859992022,"(0.4886243405614434, 0.5482667348131659)",0.23331053696862167,"(0.20745461868282944, 0.2590847671205873)",0.23331053696862167,"(0.20745461868282944, 0.2590847671205873)",0.0,"(0.0, 0.0)",-0.2028068916436918,"(-0.2511492277487745, -0.15706194913493499)",-0.2028068916436918,"(-0.2511492277487745, -0.15706194913493499)",-0.9106903485055317,-0.9106903485055317
resnet50,unweighted_bce,Pneumonia,3403,289,342,0.1004995592124596,0.09039939781056093,0.5831332114452525,"(0.5398079945924993, 0.6234121130942396)",0.09819775169766073,"(0.0836142331615086, 0.1153651422040181)",0.09819775169766073,"(0.0836142331615086, 0.1153651422040181)",0.0,"(0.0, 0.0)",-0.08626555127548374,"(-0.10659356726476496, -0.06981142977495436)",-0.08626555127548374,"(-0.10659356726476496, -0.06981142977495436)",-1.0944557944367932,-1.0944557944367932
