architecture,loss_type,target,n_observations,n_patients,n_positives,prevalence,brier_null,auroc,auroc_ci,brier_raw,brier_raw_ci,brier_corr,brier_corr_ci,delta_brier,delta_brier_ci,bss_raw,bss_raw_ci,bss_corr,bss_corr_ci,intercept_raw,intercept_corr
densenet121,unweighted_bce,Pleural Effusion,3041,289,990,0.325551,0.219567,0.695,"(0.663, 0.723)",0.2488,"(0.2307, 0.2676)",0.2488,"(0.2307, 0.2676)",0.0,"(0.0, 0.0)",-0.133,"(-0.223, -0.048)",-0.133,"(-0.223, -0.048)",-0.048,-0.048
densenet121,unweighted_bce,Cardiomegaly,3041,289,807,0.265373,0.194951,0.526,"(0.497, 0.559)",0.2378,"(0.2231, 0.2536)",0.2378,"(0.2231, 0.2536)",0.0,"(0.0, 0.0)",-0.219,"(-0.305, -0.139)",-0.219,"(-0.305, -0.139)",-0.219,-0.219
densenet121,unweighted_bce,Pneumonia,3041,289,309,0.101611,0.091286,0.608,"(0.562, 0.65)",0.0996,"(0.0906, 0.1093)",0.0996,"(0.0906, 0.1093)",0.0,"(0.0, 0.0)",-0.091,"(-0.194, 0.003)",-0.091,"(-0.194, 0.003)",-0.091,-0.091
densenet121,unweighted_bce,Edema,3041,289,658,0.216376,0.169558,0.565,"(0.528, 0.6)",0.2157,"(0.1993, 0.2329)",0.2157,"(0.1993, 0.2329)",0.0,"(0.0, 0.0)",-0.271,"(-0.377, -0.173)",-0.271,"(-0.377, -0.173)",-0.271,-0.271
densenet121,weighted_bce,Pleural Effusion,3041,289,990,0.325551,0.219567,0.674,"(0.643, 0.704)",0.2556,"(0.2307, 0.2822)",0.2453,"(0.226, 0.2662)",-0.0102,"(-0.0427, 0.0236)",-0.164,"(-0.293, -0.046)",-0.117,"(-0.218, -0.026)",-0.428,-0.083
densenet121,weighted_bce,Cardiomegaly,3041,289,807,0.265373,0.194951,0.527,"(0.497, 0.558)",0.2933,"(0.2692, 0.3191)",0.2332,"(0.2184, 0.2497)",-0.0601,"(-0.0814, -0.0367)",-0.503,"(-0.639, -0.375)",-0.195,"(-0.283, -0.116)",-0.69,-0.173
densenet121,weighted_bce,Pneumonia,3041,289,309,0.101611,0.091286,0.599,"(0.555, 0.639)",0.1091,"(0.0975, 0.1218)",0.0992,"(0.0903, 0.1089)",-0.01,"(-0.0179, -0.0018)",-0.195,"(-0.339, -0.066)",-0.086,"(-0.191, 0.01)",-0.347,-0.082
densenet121,weighted_bce,Edema,3041,289,658,0.216376,0.169558,0.583,"(0.55, 0.616)",0.1937,"(0.1793, 0.209)",0.2165,"(0.1999, 0.2335)",0.0228,"(0.0126, 0.0325)",-0.141,"(-0.234, -0.054)",-0.275,"(-0.38, -0.18)",-0.183,-0.276
resnet50,unweighted_bce,Pleural Effusion,3041,289,990,0.325551,0.219567,0.682,"(0.65, 0.714)",0.2431,"(0.2269, 0.2605)",0.2431,"(0.2269, 0.2605)",0.0,"(0.0, 0.0)",-0.107,"(-0.19, -0.029)",-0.107,"(-0.19, -0.029)",-0.029,-0.029
resnet50,unweighted_bce,Cardiomegaly,3041,289,807,0.265373,0.194951,0.521,"(0.494, 0.548)",0.234,"(0.2201, 0.2492)",0.234,"(0.2201, 0.2492)",0.0,"(0.0, 0.0)",-0.2,"(-0.28, -0.124)",-0.2,"(-0.28, -0.124)",-0.2,-0.2
resnet50,unweighted_bce,Pneumonia,3041,289,309,0.101611,0.091286,0.584,"(0.543, 0.624)",0.0992,"(0.0906, 0.1085)",0.0992,"(0.0906, 0.1085)",0.0,"(0.0, 0.0)",-0.087,"(-0.187, 0.005)",-0.087,"(-0.187, 0.005)",-0.087,-0.087
resnet50,unweighted_bce,Edema,3041,289,658,0.216376,0.169558,0.516,"(0.48, 0.553)",0.2158,"(0.2014, 0.2317)",0.2158,"(0.2014, 0.2317)",0.0,"(0.0, 0.0)",-0.272,"(-0.369, -0.184)",-0.272,"(-0.369, -0.184)",-0.272,-0.272
resnet50,weighted_bce,Pleural Effusion,3041,289,990,0.325551,0.219567,0.625,"(0.594, 0.655)",0.2685,"(0.244, 0.2946)",0.2567,"(0.237, 0.2783)",-0.0118,"(-0.0427, 0.0251)",-0.223,"(-0.344, -0.109)",-0.169,"(-0.269, -0.076)",-0.488,-0.151
resnet50,weighted_bce,Cardiomegaly,3041,289,807,0.265373,0.194951,0.523,"(0.493, 0.552)",0.2858,"(0.2638, 0.309)",0.2217,"(0.2087, 0.2366)",-0.0642,"(-0.0852, -0.0434)",-0.465,"(-0.591, -0.347)",-0.136,"(-0.213, -0.066)",-0.647,-0.122
resnet50,weighted_bce,Pneumonia,3041,289,309,0.101611,0.091286,0.588,"(0.542, 0.627)",0.1155,"(0.1039, 0.1284)",0.0992,"(0.0906, 0.1085)",-0.0163,"(-0.0267, -0.0068)",-0.265,"(-0.407, -0.135)",-0.086,"(-0.187, 0.005)",-0.402,-0.086
resnet50,weighted_bce,Edema,3041,289,658,0.216376,0.169558,0.571,"(0.538, 0.606)",0.1951,"(0.1823, 0.2091)",0.2164,"(0.2008, 0.233)",0.0213,"(0.01, 0.033)",-0.149,"(-0.237, -0.069)",-0.275,"(-0.375, -0.184)",-0.191,-0.276
